i_event,id_x,id_y,id_z,v_x,v_y,v_z
32,494.0,312.0,1,-11.75,4.75,1
33,493.75,311.8333333333333,1,1.386363636363626,-0.6212121212121247,1
47,558.9090909090909,423.3636363636364,2,4.4772727272727195,32.59090909090909,1
48,559.0,423.5,2,-5.7999999999999545,13.0,1
54,535.3333333333334,292.1111111111111,2,-1.4166666666666572,-0.22222222222222854,1
55,546.9444444444445,269.55555555555554,2,15.035353535353579,-21.080808080808083,1
56,751.6296296296297,137.66666666666666,2,219.74074074074076,-153.00000000000003,1
57,726.5,160.65,2,46.375,-33.0875,1
61,958.0,509.5,1,104.25,54.125,1
62,958.0,509.5,1,104.25,54.125,1
70,581.7142857142857,293.5,1,10.178571428571416,0.125,1
72,561.0,283.5,1,5.0,-2.375,1
73,560.8888888888889,283.3333333333333,1,0.38888888888891415,-0.16666666666668561,1
85,561.875,325.875,0,5.21875,8.21875,1
93,587.0,245.5,0,11.5,-11.875,1
94,586.8,245.5,0,11.449999999999989,-11.875,1
99,516.2,242.4,1,2.7000000000000455,-1.5999999999999943,1
100,516.1111111111111,242.33333333333334,1,2.611111111111086,-1.6666666666666572,1
133,492.3636363636364,312.45454545454544,0,-12.159090909090907,4.86363636363636,1
134,492.5,312.0,0,-12.125,4.75,1
138,561.8888888888889,304.6666666666667,2,2.763888888888914,0.7916666666666856,1
139,562.0,304.42857142857144,2,2.8571428571428896,0.571428571428612,1
143,549.0,279.5,2,3.8333333333333712,-1.6666666666666856,1
144,548.8888888888889,279.6666666666667,2,3.7777777777778283,-1.6666666666666288,1
148,564.8,410.5,1,-4.7000000000000455,13.0,1
149,564.75,410.5833333333333,1,-4.634615384615358,12.967948717948673,1
155,531.9090909090909,290.6363636363636,1,2.909090909090878,1.4363636363636374,1
156,531.8888888888889,290.6666666666667,1,2.888888888888914,1.444444444444457,1
171,578.5454545454545,295.3636363636364,0,9.386363636363626,0.5909090909090935,1
173,560.5,283.5,0,4.875,-2.375,1
174,560.6363636363636,283.45454545454544,0,4.9090909090909065,-2.3863636363636402,1
178,358.6190476190476,160.0,1,-72.74937343358397,-11.21052631578948,1
179,358.6666666666667,160.0,1,-72.66666666666663,-11.133333333333326,1
199,513.5,244.0,0,-6.875,-12.25,1
200,513.5,244.0,0,-6.875,-12.25,1
238,559.125,303.875,1,2.25,-1.0,1
239,559.1428571428571,303.85714285714283,1,2.2857142857142208,-1.0,1
240,573.5,414.5,2,14.0,9.5,1
241,573.5,414.5,2,13.833333333333371,9.388888888888914,1
243,545.1666666666666,281.1666666666667,1,3.6666666666666288,-1.3333333333333144,1
244,545.1111111111111,281.3333333333333,1,3.611111111111086,-1.6666666666666856,1
248,569.5,397.5,0,7.125,26.125,1
249,569.3846153846154,397.61538461538464,0,7.09615384615384,26.15384615384616,1
255,529.0,289.2,0,-3.0,-0.9500000000000028,1
256,529.0,289.22222222222223,0,-3.0,-0.9444444444444429,1
260,537.0,245.8,2,-0.125,-0.32499999999998863,1
278,431.36842105263156,171.21052631578948,0,-27.40789473684211,-30.44736842105263,1
279,431.3333333333333,171.13333333333333,0,-27.41666666666667,-30.46666666666667,1
309,603.2857142857143,321.0,2,5.285714285714334,0.0,1
314,485.0,434.7142857142857,2,-20.0,38.0,1
315,485.0,434.7142857142857,2,-20.0,38.04761904761904,1
316,621.0,20.0,1,16.18181818181813,-40.81818181818182,1
338,556.875,304.875,0,3.96875,2.96875,1
339,556.8571428571429,304.85714285714283,0,3.9642857142857224,2.964285714285708,1
340,559.5,405.0,1,85.45999999999998,95.56,1
341,559.6666666666666,405.1111111111111,1,85.62666666666661,95.67111111111109,1
343,541.5,282.5,0,0.125,-2.625,1
344,541.5,283.0,0,0.125,-2.5,1
360,537.125,246.125,1,1.625,-4.175000000000011,1
361,537.0,246.2,1,22.0,-39.43636363636364,1
367,570.4166666666666,96.75,2,8.570512820512818,-26.788461538461533,1
368,570.4166666666666,96.75,2,8.570512820512818,-26.788461538461533,1
402,579.0,288.8,2,1.875,-1.3249999999999886,1
403,579.0,288.3333333333333,2,2.0,-1.6666666666666856,1
409,598.0,321.0,1,4.333333333333371,-0.11111111111108585,1
410,598.0,320.5,1,14.25,6.875,1
414,505.0,396.7142857142857,1,-19.285714285714334,38.71428571428572,1
415,505.0,396.6666666666667,1,-19.33333333333337,38.666666666666686,1
416,604.8181818181819,60.81818181818182,0,15.954545454545467,-58.04545454545455,1
433,527.5,295.5,2,-0.38888888888891415,-2.1666666666666856,1
434,527.5,295.5,2,-0.38888888888891415,-2.1666666666666856,1
440,474.04,309.44,0,-89.95999999999998,26.939999999999998,1
441,474.04,309.44,0,-16.739999999999995,4.109999999999999,1
460,535.5,250.3,2,24.5,-34.69999999999999,1
461,515.0,285.6363636363636,2,4.0,0.636363636363626,1
467,561.8461538461538,123.53846153846153,1,7.0,-26.92307692307692,1
468,561.8461538461538,123.53846153846153,1,7.131868131868146,-26.961538461538467,1
472,566.125,258.875,2,4.236111111111086,1.2083333333333144,1
473,566.1428571428571,258.85714285714283,2,4.285714285714221,1.0,1
478,317.2857142857143,184.5,2,-27.714285714285722,-6.5,1
479,319.0,185.0,2,-25.833333333333314,-6.333333333333343,1
486,423.3636363636364,274.45454545454544,2,-16.636363636363626,-2.7454545454545496,1
487,423.3636363636364,274.45454545454544,2,-16.636363636363626,-2.7454545454545496,1
502,577.125,290.125,1,1.125,-0.375,1
503,577.0,290.0,1,1.0,-2.0,1
509,593.6666666666666,321.1111111111111,0,13.166666666666657,7.0277777777777715,1
514,524.2857142857143,358.0,0,-4.178571428571416,16.25,1
515,524.3333333333334,358.0,0,-4.166666666666657,16.25,1
533,527.8888888888889,297.6666666666667,1,-0.6111111111110858,-2.1333333333333258,1
534,527.8888888888889,297.6666666666667,1,-0.6111111111110858,-2.1333333333333258,1
535,697.6153846153846,460.38461538461536,2,25.15384615384619,24.53846153846149,1
536,696.8,460.6,2,24.674999999999955,24.600000000000023,1
540,564.0,282.5,2,-4.5,-14.0,1
543,528.125,281.125,2,-2.375,0.625,1
560,511.0,285.0,1,1.0,5.0,1
561,511.0,285.0,1,1.0,5.0,1
567,554.8461538461538,150.46153846153845,0,3.461538461538453,-35.63461538461539,1
568,554.7142857142857,150.5,0,3.4285714285714164,-35.625,1
569,515.0,492.5,0,-6.5,49.875,1
572,561.8888888888889,257.6666666666667,1,3.6888888888888687,1.1666666666666856,1
573,561.8571428571429,257.85714285714283,1,3.6071428571428896,1.3571428571428328,1
578,345.0,191.0,1,-29.181818181818187,-3.818181818181813,1
579,344.8333333333333,191.33333333333334,1,-28.166666666666686,-2.666666666666657,1
586,440.0,277.2,1,-17.0,-1.8000000000000114,1
587,440.0,277.2,1,-17.0,-1.8000000000000114,1
592,490.2,346.5,2,-1.9250000000000114,1.375,1
593,324.1764705882353,371.11764705882354,2,1.5098039215686185,1.9176470588235475,1
594,87.0,406.5,2,-41.80000000000001,9.899999999999977,1
602,576.0,290.5,0,8.75,-0.625,1
603,576.0,292.0,0,8.75,-0.25,1
619,290.8888888888889,310.3333333333333,2,-26.396825396825363,5.333333333333314,1
620,291.0,310.3333333333333,2,-26.333333333333314,5.333333333333314,1
633,528.5,299.8,0,-3.125,1.7000000000000028,1
634,528.5,299.8,0,-3.125,1.7000000000000028,1
635,672.4615384615385,435.84615384615387,1,28.076923076923094,21.46153846153851,1
636,672.125,436.0,1,27.696428571428555,21.714285714285722,1
640,568.5,296.5,1,-6.0,-13.0,1
643,530.5,280.5,1,-2.25,0.8333333333333144,1
644,530.1666666666666,280.1666666666667,1,-2.708333333333343,-3.2083333333333286,1
651,516.7142857142857,272.0,2,2.098901098901024,-2.3846153846153584,1
652,516.7142857142857,272.0,2,2.1309523809522943,-2.4166666666666856,1
655,18.615384615384617,394.38461538461536,1,-66.88461538461539,17.88461538461536,1
660,510.0,280.0,0,-7.75,-3.25,1
661,510.0,280.0,0,-7.75,-3.25,1
672,558.2,256.5,0,4.300000000000011,-9.125,1
673,558.25,256.5,0,4.3125,-9.125,1
